Entity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,11.09474322,11.17517826,11.05447241,10.93109267,10.83979025,10.65562638,10.53847527,10.39112875,10.21915363,10.03665661,9.875392582,9.721869255,9.570650579,9.447661387,9.346730598,9.319113991,9.251599862,9.1885684
Albania,4.867019571,5.051083949,5.266104023,5.464625751,5.631023639,5.616377499,5.500652419,5.329978651,5.421475588,5.286600485,5.257754013,5.239571863,5.199616564,5.196816017,5.216570183,5.191083289,5.155579107,5.108780608
Algeria,5.268358672,5.265956226,5.249789225,5.09878635,5.039528554,4.967048953,4.881888922,4.790792192,4.691237623,4.603041345,4.507493344,4.462070327,4.388441623,4.34927012,4.329456577,4.291621911,4.1878147,4.124306462
American Samoa,6.614259369,6.664233558,6.655360533,6.640536302,6.513566492,6.370166906,6.294535668,6.36088207,6.477087698,6.474943099,6.559889929,6.609073415,6.641877766,6.663810971,6.684827128,6.792609725,6.753623477,6.738544884
Andean Latin America,5.99208738,5.804329743,5.901376817,6.019007114,6.050251858,6.094923873,6.024279003,6.046650104,6.115917031,6.232463047,6.227206748,6.133322865,5.97595322,5.724302136,5.555712041,5.467845591,5.410889213,5.389730469
Andorra,9.533035021,9.40646606,9.271336458,9.208443644,9.205391432,9.067001825,8.947916813,8.837502006,8.738516869,8.65729272,8.562680063,8.436108492,8.387059023,8.290929387,8.083799955,7.967667371,7.944369505,7.912272825
Angola,15.78042864,15.40443951,14.94701168,14.83451157,14.90054446,14.41347832,14.23917994,13.88048173,13.61103728,13.39023376,13.17799801,13.04844291,12.9313702,12.74010478,12.33509986,12.16901468,11.98816387,11.96630535
Antigua and Barbuda,2.624641895,2.592134457,2.583096804,2.596712511,2.595665222,2.60167833,2.589962939,2.585438932,2.627149695,2.645781765,2.660230168,2.687918933,2.657853906,2.659581833,2.67756715,2.682500687,2.664481702,2.650124496
Argentina,12.28835527,12.46350279,12.44992756,11.83360221,11.04560039,10.89904752,10.86698397,11.18162893,11.12339426,11.04245788,10.78392196,10.90434089,11.06427887,11.07401041,10.82028868,10.57032058,10.62744585,10.60968195
Armenia,3.715407407,3.906863428,4.142097029,4.386587369,5.023305247,5.821915806,6.792787802,7.024677928,7.697774557,8.128305618,8.513010799,8.749870878,8.847523398,8.602338677,8.517576391,8.522066348,8.464023593,8.263799266
Australasia,12.56527759,12.01453841,11.6289055,11.31449283,10.99873916,10.77424468,10.58438718,10.83180898,10.9450788,10.947482,10.93448071,10.82045094,10.67679026,10.63070826,10.9596458,11.22540328,11.09769257,11.08220908
Australia,12.44325856,11.79419628,11.35699273,10.97537392,10.65348511,10.41425258,10.25500911,10.5408221,10.69683605,10.74031152,10.75843653,10.64535537,10.49414471,10.53358955,10.96272686,11.2778022,11.08186987,11.04688494
Austria,15.91662967,15.38262714,15.12614992,14.65762585,14.20984633,13.79773461,13.0886908,12.9001525,12.48758038,12.87962117,12.78292956,12.45983785,12.1332178,11.89166092,11.84142702,11.77047639,11.42054584,11.20215699
Azerbaijan,3.137434603,3.530223192,3.724613235,4.030179673,4.328853138,4.601097706,4.833657395,5.143127211,4.945721798,4.798191803,4.726909309,4.649638539,4.537995342,4.436538839,4.332896802,4.202942847,4.107187878,4.071032014
Bahamas,3.195061501,3.106689621,2.997781985,2.986367908,2.957948741,2.916657054,2.951952381,2.960268558,3.010864343,3.048829025,3.083000976,3.122921914,3.13089177,3.119303419,3.156458365,3.161859838,3.16952292,3.17229923
Bahrain,7.19097494,7.451074925,7.55723806,7.721511638,7.939496227,7.779529751,7.290588225,6.881515458,6.389655386,5.838648103,5.303096423,4.932405539,4.729990739,4.436463463,4.272502954,4.268414686,4.249785574,4.227149676
Bangladesh,7.882312369,7.63625019,7.41337577,7.177900382,7.205384678,7.324500051,7.505359969,7.64655254,7.63814228,7.46234822,7.482376863,7.061707729,6.732162248,6.487200279,6.42748148,6.217116213,6.040776809,6.032121179
Barbados,4.538947051,4.395257597,4.454249103,4.491566111,4.479656765,4.401617242,4.322654579,4.200245086,4.193634255,4.128722064,4.111697182,4.029115873,3.946698032,3.953020233,3.935124631,3.952914267,3.958051006,3.974271622
Belarus,33.72758037,35.0551137,36.95362752,35.73983409,34.53625807,35.0777284,33.11092188,30.36381932,30.48032543,29.89694257,29.21760042,29.2426896,24.2811457,22.56644214,21.09553997,19.5853203,18.85417888,19.03487291
Belgium,18.49771146,18.22101832,17.77476605,17.29909414,16.58430966,16.43260513,15.9472714,16.17433814,16.43143544,16.3277502,16.17355485,16.32236789,16.10532114,15.62929679,15.07078424,14.90918706,14.42261498,14.27531877
Belize,9.048532504,8.915739416,8.546257748,8.371474287,8.260771318,8.010595424,7.7744098,7.590517845,7.480914672,7.463918744,7.489032686,7.614991763,7.510386109,7.484311897,7.424651679,7.526193195,7.784886233,7.83283388
Benin,12.2600176,12.28190162,12.2938454,12.20744799,12.10015653,11.96787493,11.89261521,11.80092142,11.73335177,11.68465101,11.69077112,11.71402403,11.74786611,11.66619662,11.53343466,11.38338307,11.23485116,11.13786332
Bermuda,4.09674443,3.960364519,3.858001917,3.811070428,3.761269829,3.724056419,3.674925681,3.63437987,3.630524274,3.619929532,3.626654412,3.575805779,3.582876162,3.582952931,3.50593648,3.467461209,3.449199951,3.428443337
Bhutan,7.133372121,6.962672206,6.79389964,6.718548295,6.6090327,6.545564202,6.44371956,6.369431685,6.283661739,6.195509796,6.111584124,6.050095774,5.995023633,5.944346872,5.892241138,5.837235718,5.784970548,5.717799366
Bolivia,8.171102011,7.997725363,7.941279143,7.794260695,7.650739089,7.442831755,7.333737388,7.271032685,7.15554055,7.063533114,6.966135185,6.850586521,6.736757508,6.640963112,6.54466633,6.490374362,6.445286497,6.410848412
Bosnia and Herzegovina,8.694873323,8.259431464,7.832694368,7.363201227,6.90005156,6.920025351,6.6849847,6.917077532,6.547736151,6.314112431,6.112302742,5.961875814,6.233897372,6.632646979,7.007268378,7.002741071,6.933259919,6.847151393
Botswana,13.08186904,13.07368849,13.08300642,13.07158297,12.83066485,12.30405437,11.76846487,10.8619132,10.92523739,10.91331995,10.81892765,10.78622321,10.59372723,10.48915984,10.42371857,10.32602331,10.12045331,10.00756064
Brazil,6.331652424,6.318188171,6.272734495,6.266385207,6.246677176,6.173933403,6.0637318,6.02563486,6.007047992,6.013116894,5.968093623,6.015857698,6.051261689,6.03351673,5.996477592,5.979826161,6.070050194,6.08930437
Brunei,3.974280695,4.119371612,4.325188625,4.541743656,4.737013679,4.92174295,5.077791993,5.256604639,5.405421715,5.582966182,5.72000503,5.839718262,5.950597039,6.049181636,6.091569599,6.098528288,6.123049517,6.224963535
Bulgaria,15.52974926,14.79382224,13.99051194,13.05473613,12.37162774,11.81241765,11.41754685,10.85890315,10.55066136,10.12432886,9.765582461,9.495240021,9.208980168,8.961946893,9.271611189,9.2406229,9.373283872,9.480819739
Burkina Faso,13.3365733,13.17302093,13.00586308,12.9306922,12.86118775,12.73492734,12.72495264,12.63074908,12.56825037,12.52669007,12.74184742,12.78387204,13.04946201,13.14762513,13.22714461,13.26031207,13.29497399,13.21111045
Burundi,17.82252737,16.94953519,16.32174861,15.86123427,15.58429507,15.33208634,14.75739718,14.37578184,14.01055412,13.63825669,13.479749,13.39437519,13.27828599,13.09420538,12.92531853,12.81560595,12.67371223,12.61733573
Cambodia,5.733103999,5.612885048,5.497962539,5.385904,5.292885366,5.202435359,5.098078309,5.017193618,4.93020021,4.876436354,4.819798459,4.777559437,4.728621181,4.682565065,4.649401144,4.620922372,4.590873787,4.544302654
Cameroon,16.32179916,16.13890003,15.96887941,15.81454064,15.7448027,15.75246642,15.75484999,15.70306792,15.6389203,15.59666631,15.54477719,15.35598699,15.12880978,14.88178806,14.69943182,14.44141501,14.26269366,14.02993755
Canada,12.26762518,12.09118414,11.86573873,11.86617672,11.57642082,11.58401597,11.20085988,11.23334988,11.20235688,11.13858343,10.9396813,10.66312604,10.91457943,10.82001543,11.16773412,11.31616846,11.06549341,10.90519483
Cape Verde,15.67808786,16.13773498,16.30146507,16.43733532,16.55306072,16.71779561,16.87579214,16.94714693,17.04497985,17.1565449,17.28706771,17.32584028,17.25444183,17.14589476,17.03131768,16.90531253,16.81054513,16.76617486
Caribbean,10.87999391,10.55539279,10.03307202,9.922062008,9.859663096,9.803408669,9.484523813,9.355335325,9.365320078,9.370475538,9.332161994,9.117342084,9.2520139,9.328629105,9.305709367,9.437984516,9.507754432,9.48786127
Central African Republic,17.85095218,17.7967887,17.88546905,17.79097412,17.66305046,17.62065055,17.64226535,17.41505715,17.20477077,17.20822734,17.44443733,17.47773912,17.26263783,17.35953253,17.25218247,17.17502716,17.05389843,16.92689737
Central Asia,14.78576447,15.08970782,15.13015052,15.39484199,15.76242994,15.92442467,15.63920258,14.99638812,14.15778449,13.28808504,13.06690587,12.87558893,12.69588469,12.37189051,11.99908956,11.61900256,11.52752775,11.47939046
Central Europe,15.3701952,15.14963216,15.00848835,14.82845636,14.57482789,14.44022635,14.16999264,14.07980755,14.04025837,13.86354462,13.46133828,13.14768062,12.98886957,12.53369287,12.17275529,12.20023977,11.81816002,11.65032409
"Central Europe, Eastern Europe, and Central Asia",28.65593096,28.19101038,27.91622019,27.63384195,27.20791473,27.67292324,25.52455265,24.35771642,23.79188211,22.04630224,21.51508023,20.31240356,19.79295464,19.38095645,19.23567253,19.50211574,18.81192231,18.36178666
Central Latin America,6.604504603,6.619027961,6.777396286,6.707976615,6.502133585,6.369583094,6.34960439,6.231872501,6.407387536,6.535819284,6.425782651,6.294432858,6.207867696,6.025872004,6.07143747,6.083487547,6.19453245,6.225884433
Central Sub-Saharan Africa,13.3137554,13.09578595,12.81206213,12.86210897,12.69072912,12.45469645,12.36729395,12.2370277,12.21851676,12.16068684,12.16116846,12.19133029,12.20767199,12.1532393,12.06564952,12.03182703,11.9814665,11.99058317
Chad,11.5830955,11.71764184,11.76066999,11.91143631,11.79638347,11.63930401,11.51671746,11.58674233,11.60986134,11.63498929,11.76783877,11.6740111,11.55266257,11.35690948,11.24252036,11.12817764,11.05716501,11.02355593
Chile,12.84070035,12.6042943,11.8018547,11.68238283,11.57258305,11.28385501,11.20427354,11.37272396,11.45886424,11.83677861,11.36280669,10.86631856,10.40493051,10.23623059,10.10545815,10.10631238,10.14760437,10.13896418
China,14.25527218,12.31006511,11.28759658,11.38137772,11.57354428,11.06674401,10.30612899,9.720343305,9.351640471,9.127688115,8.865148671,8.366369334,7.955845261,7.636712475,7.540028586,7.420151368,7.255174144,7.206170018
Colombia,6.559038651,6.591908392,7.427132788,6.849123472,6.78514365,6.283141549,6.347042037,6.020492354,6.046418109,6.220179077,5.999311168,5.623805524,5.501150363,5.324915144,5.455652666,5.479130065,5.540307678,5.525540639
Comoros,8.856982684,8.570097632,8.4007662,8.20034642,8.661494883,8.561411178,8.528372355,8.474778137,8.466163635,8.422936539,8.378431663,8.421759135,8.420230501,8.387352153,8.366746009,8.349143564,8.343457119,8.317069457
Congo,17.22328969,16.1295293,15.4164847,15.47393327,15.28790331,15.14318481,14.84559998,14.72018786,14.60044038,14.42432228,14.25119214,13.92301851,13.9972239,13.9542053,13.97043417,13.97157613,13.93294336,14.03773379
Costa Rica,7.276432439,7.2778198,7.619114608,7.892481147,7.996036685,7.373474681,7.793398718,7.015717012,7.019874542,6.943682751,7.572602162,7.232165736,7.023584876,7.112510287,6.9847687,7.429134976,7.785396682,7.803471527
Cote d'Ivoire,15.90710539,15.79370042,15.65993793,15.62895491,15.62303271,15.54492884,15.48133957,15.28535566,15.04161282,14.83498766,14.73656263,14.66027251,14.6376221,14.5624095,14.46796322,14.28521143,14.08199016,13.85990324
Croatia,16.67093961,16.16406664,15.88155406,15.75542798,14.92806563,14.91911882,14.32722605,14.34085346,14.43712891,13.51472209,12.83715471,12.57761199,12.55620796,11.84554645,11.85163448,12.0806795,11.3030633,11.05953062
Cuba,15.31017546,14.316739,12.99652737,12.52639888,12.19907072,12.03822108,11.24036029,10.98571683,10.96120692,11.09591808,11.15999907,10.62426972,10.97695226,10.90765728,10.77635879,11.06537423,11.21504693,11.2887855
Cyprus,4.932118343,4.904384403,4.858586322,4.820250264,4.774654386,4.771663946,4.775728382,4.845931387,4.861164815,4.858453281,4.822159424,4.708178271,4.685468583,4.707553633,4.722949631,4.699221642,4.638157858,4.63015026
Czech Republic,13.96317659,13.73002259,13.55820912,13.93465959,13.43629082,13.10372492,12.50600406,12.56359491,12.58109238,12.47131778,12.471992,12.53782081,12.36973237,12.08310734,11.46695525,11.18492337,10.91706348,10.76662756
Democratic Republic of Congo,12.0786509,11.94680208,11.71600656,11.82177451,11.58308473,11.38768493,11.32552006,11.26556636,11.33972396,11.33224719,11.39930549,11.50456323,11.57465892,11.55704396,11.55946755,11.56405477,11.55761551,11.57985157
Denmark,13.03178436,12.444614,12.3219496,11.80024662,11.36485235,10.6485571,10.75402315,10.75269918,10.32912312,10.15695263,9.781867645,9.371362613,9.087963825,8.866468898,8.666310124,8.452166738,8.661886179,8.800279746
Djibouti,9.701896353,9.506492409,9.429211327,9.377620194,9.351150868,9.259793162,9.138757996,9.017023159,8.888504185,8.791427664,8.71445889,8.651154819,8.600954382,8.549445006,8.533655975,8.495386305,8.481605248,8.443490103
Dominica,4.369571484,4.27327082,4.22666318,4.210498844,4.201213164,4.116250605,4.09595792,4.09233416,4.10606173,4.185393156,4.295772495,4.392754151,4.445677407,4.536039003,4.457390822,4.498686877,4.528486812,4.536684169
Dominican Republic,7.31803888,7.388911635,7.570617221,7.906871284,8.143980685,8.073917254,8.013554449,7.731790657,7.550046762,7.468039845,7.494610565,7.336593103,7.654764906,8.207141847,8.557690095,8.866549914,9.028557391,8.924038859
East Asia,14.22569372,12.35900033,11.37531211,11.47240598,11.66950735,11.19643022,10.45617558,9.876232133,9.50684448,9.273839599,9.007198179,8.52440093,8.117946822,7.796465742,7.703066559,7.581427164,7.426910258,7.38156151
Eastern Europe,39.62848885,38.86254849,38.45769272,38.00177587,37.31922093,38.27472,34.60196298,32.74905104,32.04755271,29.21567413,28.58606209,26.61726738,25.83309974,25.46254927,25.59593521,26.33991836,25.320896,24.60499098
Eastern Sub-Saharan Africa,14.57144643,14.11712129,13.76933778,13.517565,13.23610645,12.98972738,12.75536686,12.54323495,12.35504876,12.19433462,12.05862922,11.87966637,11.70770701,11.51084294,11.3658215,11.23660069,11.12525927,11.04724262
Ecuador,7.650557122,7.588574467,8.15196321,8.608290477,9.005101752,9.588999083,9.837333137,10.16198157,10.44377708,10.61747081,10.66838974,10.54268396,10.26807395,9.780455915,9.566042201,9.445860858,9.268925283,9.213644563
Egypt,4.938986891,5.280038329,5.470909768,5.619679746,5.650123639,5.641324294,5.668683941,5.503661288,5.495743565,5.57059607,5.565210282,5.501996186,5.482715271,5.295736307,5.256165862,5.372965454,5.436074107,5.469768775
El Salvador,10.37129841,10.05161446,9.630953541,9.680150955,9.872333312,9.899438952,9.458096701,9.890277571,9.469206596,9.533761845,9.185339076,9.301348032,8.827893506,9.124582884,9.908739423,10.06445064,9.935906243,9.803162539
England,7.936383533,7.697023534,7.550546501,7.411286224,7.101532962,6.955431109,7.08152905,6.988448375,7.124478263,7.022270388,6.880589376,6.667819474,6.513292454,6.715148778,6.765168531,6.842247038,6.889021635,6.869323698
Equatorial Guinea,12.61748073,11.73728777,10.84765462,10.54604144,9.761045725,9.539272193,9.700978488,9.523428063,9.361662721,9.386788975,9.158109412,8.980979569,8.988769234,8.948493813,9.126318759,9.174147351,9.287464918,9.334451063
Eritrea,20.03159157,20.05202086,19.69658312,19.51269703,19.09880486,18.77804514,18.6733311,18.39634661,18.11124923,17.81909636,17.60041267,17.29992142,16.97868134,16.67799853,16.41555794,16.26236284,15.995559,15.7115139
Estonia,28.01180461,28.62369699,26.92579385,24.45163932,22.95502417,21.1934314,20.68293831,20.77485205,18.46333434,16.98310128,15.21470343,15.20615646,15.22729914,13.81596505,13.93177587,13.07150751,12.8737034,12.73872009
Ethiopia,15.41143832,14.67199753,14.0331173,13.53811188,13.14047247,12.69638786,12.40652795,12.11028644,11.90503363,11.74671724,11.49758501,11.14754928,10.76251249,10.31295346,10.08979652,9.8652249,9.702979273,9.633952734
Fiji,11.03569894,10.77308918,10.5048514,10.44878625,10.02886485,9.982858318,9.877975387,9.84482401,10.0445393,9.790100177,9.958086719,10.03914027,10.13194906,10.07120263,10.01017915,9.954958203,9.891468963,9.829020588
Finland,21.1510929,20.10529449,18.88903877,18.38660385,18.37053382,17.67047799,17.22108313,17.36859123,17.12039754,16.75585697,16.21025673,15.33670561,14.7118413,14.22303711,13.35633136,12.62137101,12.72129306,12.94494674
France,17.50282928,17.34128692,17.10679446,16.78422094,15.8682082,15.77977932,15.48299375,15.18385954,15.16309701,15.3752249,15.24734125,14.9076949,14.27056531,13.77708556,13.19075864,12.98537878,12.52282907,12.40029797
Gabon,13.83872578,13.97656647,13.75851772,13.83465163,13.7353107,13.6265262,13.63297432,13.5451211,13.53991473,13.39592221,13.03582598,12.98241524,12.89801607,12.73838952,12.71312232,12.6976372,12.61836091,12.52681535
Gambia,9.464028857,9.601335159,9.707811266,9.745392504,9.726908116,9.748908105,9.723018596,9.682673381,9.585804045,9.583422957,9.533658782,9.606187439,9.689010025,9.723408503,9.745000955,9.753405293,9.743733671,9.706736077
Georgia,5.430460064,5.322284521,5.354219392,5.058298569,5.090602955,4.699132333,4.581936306,4.790458769,5.433886333,5.977085487,6.153191094,6.235293255,6.42577002,6.722582816,7.176614076,7.465389522,7.466652283,7.493722182
Germany,12.16479168,11.84477166,11.70456456,11.57797777,10.98299306,10.61893562,10.23840363,10.05365296,9.989725195,10.01768403,9.994124216,9.847347404,9.605857176,9.662333897,9.415548572,9.692091233,9.903972522,9.917417031
Ghana,8.254884371,8.725254798,9.095286205,9.431199149,9.765665538,9.821289432,9.800883069,9.526398056,9.70508289,9.911082135,10.0364313,10.05824901,10.01040364,9.93059229,9.873223334,9.847412153,9.842042225,9.702396733
Greece,3.014934139,2.937035136,2.853080256,2.934711446,3.004952132,3.057778532,3.028689979,3.162815226,3.197299295,3.336568104,3.357505658,3.513058004,3.634530644,3.566942193,3.615735823,3.663069047,3.548049173,3.506254231
Greenland,78.58067589,77.13132121,75.29432391,73.55686368,72.50488732,71.14640689,69.79954511,67.62227129,66.51679313,65.21526457,63.99491137,62.1087551,60.46276321,59.43176918,58.43569089,52.73603901,51.60994852,51.06323868
Grenada,4.978127167,4.933753137,4.888235407,4.857843195,4.837654866,4.78155676,4.800256147,4.806979589,4.745968231,4.83156976,4.906976317,4.967705128,4.788738727,4.803901404,4.798780876,4.808906012,4.782517421,4.849891851
Guam,17.33953046,17.32080728,17.2499563,17.36044727,17.30937924,17.44918892,17.60920869,18.03030829,18.52808514,18.88649582,19.23785623,19.50303414,19.83256666,19.97503025,20.28000224,20.7427727,20.6720375,20.57044777
Guatemala,14.18948292,14.1989669,13.2026097,13.15955841,12.54226303,11.96898223,11.37421399,9.692881264,8.741978071,7.85608726,7.025720618,6.077593218,5.662550127,5.374575727,5.292477806,5.260248195,5.69529419,5.916702403
Guinea,9.690582983,9.838637186,9.969889828,9.991289933,10.05061015,10.0472389,10.3896287,10.58943165,10.71590195,10.88108595,11.04482777,11.12980291,11.17062783,11.22150031,11.33341875,11.30276043,11.21144128,11.12309955
Guinea-Bissau,14.67248098,14.58383147,14.53979272,14.45403323,14.55576711,14.37273592,14.36908852,14.4073323,14.33244245,14.32758624,14.26297813,14.15711594,14.0887063,14.02912021,13.93424256,13.87843734,13.76097302,13.59474489
Guyana,23.22438024,25.66541041,26.66906422,27.592024,27.81064736,27.99524268,27.77033117,26.78366433,26.2678783,26.03284942,28.21635966,29.42076808,29.94324967,29.2528834,28.17090862,27.31785563,26.63791823,26.07211034
Haiti,9.472654039,9.325311104,9.204755381,9.155978127,9.076254614,9.054841813,9.049740845,9.03813299,9.024026474,9.009012985,8.994930436,8.956313019,8.89203345,8.821070652,8.755730543,8.673928059,8.618418872,8.553154753
High SDI,12.68001086,12.65294731,12.65256272,12.70981647,12.50374691,12.54441172,12.39625607,12.36543078,12.36664073,12.35409797,12.19186593,12.1162869,11.88074759,11.69809421,11.52272422,11.48561694,11.44083571,11.38240783
High-income,12.54225205,12.52904434,12.5545478,12.61450751,12.36395391,12.39763673,12.28550549,12.3161179,12.3700154,12.43066869,12.3075846,12.25402071,12.03653591,11.8934866,11.73967681,11.70472259,11.68256637,11.63370822
High-income Asia Pacific,17.78143293,18.03444865,18.36586555,19.16333911,19.24778742,19.58326445,19.32943891,19.55025716,19.76482088,20.01164295,19.91596846,19.64783324,18.7843482,18.18050387,17.55842123,16.82827822,16.4700368,16.36707762
High-middle SDI,16.26753505,15.2594321,14.6810295,14.42490127,14.14590418,13.9198694,12.79487531,12.11002925,11.71758884,11.0505433,10.72264122,10.13099321,9.792573593,9.537238614,9.444090536,9.433680314,9.165259442,8.984948793
Honduras,5.209292857,5.165159013,5.132502882,5.124785833,5.089645302,5.02000903,4.92109224,4.820332479,4.701756991,4.611315667,4.536855713,4.498692854,4.425898199,4.435247585,4.467264978,4.449066063,4.429900573,4.397348634
Hungary,23.66409057,22.17118229,21.69426717,21.1902231,20.49866897,20.39774498,19.68096119,19.62103684,18.88229795,18.78405732,18.12179326,17.49222783,17.00503444,15.87767821,15.44633988,16.21149289,14.69779403,14.28173103
Iceland,11.72271736,11.37939865,11.05489542,10.78267424,10.42782145,10.15687926,10.01720825,9.901471385,9.815212098,9.81497922,9.688916441,9.556773039,9.657156939,9.810970328,9.901937786,9.836354816,9.838218069,9.608335243
India,19.724828,19.2070647,18.54118074,17.76862469,17.19984556,17.41189593,17.19528285,16.91934868,16.95242305,17.11830359,17.29007824,17.45907339,17.0414596,16.56142617,16.28727736,15.70522051,15.73827567,15.59784439
Indonesia,3.732577164,3.683310151,3.676050715,3.651277482,3.636914746,3.60240644,3.570750532,3.529440729,3.503537514,3.466612316,3.421663517,3.400431701,3.321314957,3.26136563,3.203409691,3.168105308,3.15060259,3.124459497
Iran,6.490899192,6.529891349,6.504076483,6.435498618,6.325482855,6.222288247,6.128834283,6.167680607,6.174915318,6.155730453,6.157135004,6.12215069,6.050167678,5.919657606,5.735812141,5.634616587,5.546188087,5.447743672
Iraq,9.358848471,8.831951679,8.933908989,8.41989021,7.948563807,7.517518838,7.076051593,6.677970278,6.241625479,5.981627066,5.727675375,5.414654133,5.129167539,5.002731951,4.714528818,4.354526363,4.155932559,4.094957682
Ireland,12.76339759,12.43146226,12.0638585,11.26612598,11.23654185,11.14148058,10.99735294,10.97190802,11.17598169,11.62697046,10.6469145,10.7581281,10.35080451,9.776539733,9.369768,8.753767281,8.352954987,8.374148078
Israel,8.901058346,8.737636137,8.376889369,7.977085899,7.643807541,7.644003558,7.304928299,7.147340064,6.936537798,6.79608771,6.731508922,6.480936814,6.274392063,6.116024983,5.927504515,5.907667419,5.7759239,5.733338007
Italy,6.311437286,6.160840943,5.973006941,5.881354616,5.556545173,5.439551456,5.379974003,5.371278728,5.388443926,5.38357085,5.31055498,5.407013976,5.443136908,5.395752172,5.196653997,5.144601682,4.850424784,4.759584776
Jamaica,2.379569835,2.368816208,2.271486171,2.134423597,2.018091044,2.309098151,2.347684545,2.639034949,2.906565372,3.001000581,2.685205332,3.098818407,3.416252429,3.517409827,3.63652763,3.746031432,3.639540845,3.606515878
Japan,18.09275561,18.25106971,18.36405238,18.99229406,18.88961538,19.20129623,18.87269124,18.80590124,18.69993976,18.60491389,18.38078014,18.16469437,17.31651395,16.81711058,16.34572835,15.69282298,15.63227525,15.64795107
Jordan,5.173127148,5.013971232,4.840167126,4.650559239,4.496293116,4.227979287,4.048487566,3.817753665,3.591913701,3.462075193,3.429530869,3.394392292,3.358056002,3.301778923,3.276978198,3.24916363,3.234423461,3.218820217
Kazakhstan,33.43099146,35.03061069,35.43394987,36.91345613,37.9621409,38.28511187,37.94302494,35.80804768,32.96248639,30.06614665,29.53235606,28.497202,27.36906614,25.85464155,23.91206752,22.86606956,22.76949663,22.98552802
Kenya,13.40101285,13.27537941,13.35897563,13.55406324,13.29815761,13.22798352,12.99022022,12.79182274,12.54106923,12.37466395,12.30788706,12.15884142,11.95592979,11.675654,11.4531601,11.30547181,11.18413503,11.05758978
Kiribati,27.45580984,27.26785421,27.186497,27.02755906,26.96051607,26.84244503,26.91485013,27.04949605,27.07331027,27.18789305,27.22716129,27.19996973,27.1409815,27.04628742,26.91119208,26.76510246,26.61380268,26.3786312
Kuwait,3.341008893,3.045228601,3.025221377,2.964496312,3.028656607,3.085181413,3.128929723,3.104356063,3.133874951,3.009587207,2.775687073,2.657514523,2.709702929,2.653116099,2.531229913,2.485094847,2.489959457,2.492573555
Kyrgyzstan,17.15159008,16.96123134,16.91638489,16.64840576,16.31429389,16.07421839,15.60109518,14.93446037,13.89948943,12.98585823,12.71855614,12.53206294,12.32950368,11.84090352,11.41977837,10.76855112,10.16631293,10.01537959
Laos,14.19992966,13.58879873,12.85781336,12.28051298,11.77343762,11.36416514,10.99969988,10.64432497,10.36473378,10.05704649,9.744163718,9.430554078,9.218322324,9.026749169,8.874724356,8.731001184,8.585078416,8.420251403
Latin America and Caribbean,6.892220547,6.839093219,6.842713974,6.813277932,6.718428629,6.630119642,6.539659126,6.46273924,6.536564629,6.606660967,6.536570383,6.467077294,6.435884583,6.330623458,6.312786033,6.310335557,6.389895713,6.405046451
Latvia,28.11157337,28.53167811,27.48659088,25.55142185,24.14803277,24.56853982,24.85647773,23.42923696,21.62278866,20.2168931,19.33808611,18.16570162,17.77858492,17.64272868,17.62475267,17.16411382,16.94008457,16.98867374
Lebanon,5.053832425,4.984196912,4.927660331,4.897658074,4.896157873,4.889841467,4.853856396,4.846962365,4.848784277,4.854846743,4.830294174,4.852307012,4.82827943,4.849518837,4.845117365,4.813600675,4.791321684,4.778861022
Lesotho,28.18131385,28.97846481,30.53213732,32.15039052,33.11601242,33.8338632,34.08873709,34.36853886,35.0735288,34.61292606,34.5802612,34.33019893,34.52095178,34.71517151,34.59657984,34.27652644,33.09882905,31.71521752
